"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.774113000E0,-4.270224017E-4,-2.211095020E-2,4.359816015E-2
1.784131000E0,-2.022821456E-2,-3.015909903E-2,2.823770605E-2
1.794149000E0,-4.039287195E-2,-3.668837249E-2,9.149233811E-3
1.804167000E0,-4.944457486E-2,-3.560936823E-2,-7.214287296E-3
1.814185000E0,-4.815001413E-2,-2.834772691E-2,-1.596277207E-2
1.824203000E0,-4.207744822E-2,-2.045959234E-2,-1.515035890E-2
1.834221000E0,-3.461367264E-2,-1.669334993E-2,-3.412741935E-3
1.844239000E0,-2.787891030E-2,-1.231596246E-2,1.236711908E-2
1.854258000E0,-2.308948152E-2,-1.242408622E-2,1.120491512E-2
1.864276000E0,-1.849526167E-2,-1.398496516E-2,2.832918544E-4
1.874294000E0,-2.737504058E-2,-1.182594057E-2,1.889177947E-3
1.884312000E0,-3.589846194E-2,-5.254738033E-3,5.364485551E-3
1.894330000E0,-4.263466224E-2,7.812327705E-3,1.208364032E-2
1.904348000E0,-4.342428967E-2,8.022184484E-3,1.874260791E-2
1.914366000E0,-3.689075634E-2,7.384400815E-4,2.313735709E-2
1.924384000E0,-3.309027478E-2,-1.775257476E-2,2.210910432E-2
1.934402000E0,-2.582889982E-2,-3.796064109E-2,2.544391528E-2
1.944420000E0,-3.039365076E-2,-4.462017491E-2,2.188261040E-2
1.954438000E0,-4.321757331E-2,-4.192612320E-2,1.210961025E-2
1.964456000E0,-5.435334519E-2,-2.219232172E-2,5.861579906E-3
1.974474000E0,-5.676670372E-2,-3.219163977E-3,9.658182040E-3
1.984492000E0,-5.737354606E-2,5.321627483E-3,1.154062897E-2
1.994510000E0,-4.573340341E-2,-4.896122962E-3,1.019120496E-2
2.004528000E0,-3.847420216E-2,-1.693420485E-2,6.716434145E-4
2.014546000E0,-3.073398955E-2,-1.685058139E-2,-2.145096846E-2
2.024564000E0,-2.634943277E-2,-1.912208274E-2,-4.404407367E-2
2.034583000E0,-2.166732959E-2,-1.760062017E-2,-5.163514987E-2
2.044601000E0,-2.717427164E-2,-1.219474711E-2,-4.576701298E-2
2.054619000E0,-3.043424711E-2,4.794356413E-3,-2.971587330E-2
2.064637000E0,-2.457302250E-2,2.765706927E-2,-1.090794243E-2
2.074655000E0,-4.995860159E-3,3.767508268E-2,5.556784570E-3
2.084673000E0,1.924470626E-2,3.551970795E-2,2.879192866E-2
2.094691000E0,5.136136338E-2,1.932129823E-2,3.914550319E-2
2.104709000E0,8.120876551E-2,-1.803308725E-3,4.496785253E-2
2.114727000E0,9.839174151E-2,-2.084038407E-2,4.554761946E-2
2.124745000E0,8.891785890E-2,-3.296542913E-2,3.751988336E-2
2.134763000E0,6.382182986E-2,-4.175465554E-2,2.492712624E-2
2.144781000E0,2.524717152E-2,-4.777673632E-2,1.792438142E-2
2.154799000E0,-1.173880976E-2,-5.003722757E-2,8.712773211E-3
2.164817000E0,-3.786696866E-2,-4.967221990E-2,1.789093250E-3
2.174835000E0,-5.159902573E-2,-4.531129450E-2,1.339355111E-2
2.184853000E0,-6.891819090E-2,-4.316908121E-2,2.694572136E-2
2.194871000E0,-8.746337891E-2,-5.332078785E-2,3.976804391E-2
2.204890000E0,-8.328380436E-2,-7.132205367E-2,5.452791974E-2
2.214908000E0,-7.239333540E-2,-8.048492670E-2,5.441100895E-2
2.224926000E0,-5.281482637E-2,-8.892437816E-2,4.961608723E-2
2.234944000E0,-3.241607919E-2,-8.392509073E-2,4.118638486E-2
2.244962000E0,-1.550578233E-2,-6.356164068E-2,3.832843155E-2
2.254980000E0,-2.329793060E-3,-2.591945976E-2,3.572439030E-2
2.264998000E0,1.895509544E-3,-6.551854312E-6,3.119384870E-2
2.275016000E0,-1.133480854E-2,8.765900508E-3,3.098425642E-2
2.285034000E0,-3.837893158E-2,1.095645595E-2,3.419560194E-2
2.295052000E0,-6.707210094E-2,-3.073342610E-3,3.715384007E-2
2.305070000E0,-7.809650898E-2,-1.847598702E-2,4.872718453E-2
2.315088000E0,-6.762415916E-2,-2.962504514E-2,6.191861629E-2
2.325106000E0,-3.823841736E-2,-3.875744343E-2,5.911909789E-2
2.335124000E0,-5.741463508E-3,-3.927276284E-2,4.882491753E-2
2.345142000E0,1.863957755E-2,-3.663419187E-2,3.894136846E-2
2.355160000E0,2.671454847E-2,-3.979828954E-2,2.991538122E-2
2.365179000E0,1.878065616E-2,-4.691257328E-2,1.704195142E-2
2.375197000E0,2.108470071E-3,-4.802630842E-2,7.194377831E-4
2.385215000E0,-8.398788981E-3,-3.840229660E-2,-1.829888904E-3
2.395233000E0,-4.334272817E-3,-1.899850741E-2,2.229301026E-3
2.405251000E0,4.632822704E-3,5.229910836E-3,7.285058964E-3
2.415269000E0,1.897287928E-2,2.209411189E-2,9.911201894E-3
2.425287000E0,2.743178606E-2,2.554286830E-2,1.127914339E-2
2.435305000E0,3.145635501E-2,2.292711101E-2,1.480623428E-2
2.445323000E0,4.315154254E-2,2.036096156E-2,2.013307065E-2
2.455341000E0,5.638798699E-2,4.462422803E-3,2.728525735E-2
2.465359000E0,7.389965653E-2,-7.201985922E-3,3.634429350E-2
2.475377000E0,8.486761898E-2,-1.084838621E-2,4.486161843E-2
2.485395000E0,7.939553261E-2,-1.140944194E-2,4.981401563E-2
2.495413000E0,6.648585945E-2,-1.291199774E-2,5.049738288E-2
2.505431000E0,5.134221539E-2,-1.426397264E-2,4.424240440E-2
2.515449000E0,3.598722816E-2,-7.549877279E-3,3.244513646E-2
2.525467000E0,2.734746598E-2,2.018508501E-3,2.636564896E-2
2.535486000E0,2.303607576E-2,1.637161523E-2,3.209916875E-2
2.545504000E0,1.659649424E-2,2.975125983E-2,3.666608408E-2
2.555522000E0,8.090357296E-3,2.884631976E-2,4.159053415E-2
2.565540000E0,6.257767323E-3,1.924517378E-2,3.097839653E-2
2.575558000E0,9.810158052E-3,-5.157478154E-4,1.842212677E-2
2.585576000E0,1.137614436E-2,-1.466781460E-2,1.247558463E-2
2.595594000E0,1.979279704E-2,-1.669474691E-2,7.704798598E-3
2.605612000E0,3.059616499E-2,-5.007742904E-3,-1.761718420E-3
2.615630000E0,4.712693766E-2,1.111902855E-2,-1.786079258E-2
2.625648000E0,5.761575326E-2,1.826795563E-2,-3.188402578E-2
2.635666000E0,6.131115556E-2,2.382623777E-2,-4.079309851E-2
2.645684000E0,5.777779967E-2,3.456862271E-2,-4.666099697E-2
2.655702000E0,4.532858729E-2,3.771727905E-2,-3.995302692E-2
2.665720000E0,2.627803572E-2,3.095476329E-2,-1.845289394E-2
2.675738000E0,8.336586878E-3,1.796173304E-2,-2.178848721E-3
2.685756000E0,-5.570222158E-3,6.201509386E-3,9.851151146E-3
2.695775000E0,-1.611394249E-2,3.905065358E-3,2.390624955E-2
2.705793000E0,-1.593920588E-2,5.881087855E-3,3.492746130E-2
2.715811000E0,-6.822406314E-3,-5.653593689E-4,3.881620988E-2
2.725829000E0,-8.663774468E-3,-1.449030824E-2,3.643334657E-2
2.735847000E0,-2.183523588E-2,-2.713899128E-2,2.774957381E-2
2.745865000E0,-2.963151224E-2,-2.093516290E-2,2.010854334E-2
2.755883000E0,-4.549596459E-2,-2.101821825E-3,1.584828459E-2
2.765901000E0,-6.594079733E-2,1.971282437E-2,1.302309986E-2
2.775919000E0,-8.409263939E-2,3.724920750E-2,1.433044579E-2
2.785937000E0,-9.342142195E-2,6.181900203E-2,1.069443114E-2
2.795955000E0,-8.934306353E-2,7.523147762E-2,-6.003322545E-3
2.805973000E0,-6.669040769E-2,6.995673478E-2,-2.625535615E-2
2.815991000E0,-2.249418385E-2,4.875317961E-2,-3.688696027E-2
2.826009000E0,1.398356352E-2,2.758623287E-2,-3.421524167E-2
2.836027000E0,4.982971027E-2,1.607765257E-2,-2.975391224E-2
2.846045000E0,7.192414999E-2,2.508374117E-2,-3.130533546E-2
2.856063000E0,7.638148218E-2,2.499079518E-2,-3.541778773E-2
2.866082000E0,6.795372814E-2,2.427513525E-2,-3.953501582E-2
2.876100000E0,4.805032536E-2,1.844787225E-2,-3.791874275E-2
2.886118000E0,3.300524876E-2,1.110001467E-2,-3.859387338E-2
2.896136000E0,1.390132960E-2,-2.678914927E-3,-3.410804272E-2
2.906154000E0,9.930222295E-4,4.316635430E-3,-2.377712354E-2
2.916172000E0,8.859632071E-4,1.464410871E-2,-5.832477473E-3
2.926190000E0,-4.002371803E-3,1.445807796E-2,1.808913797E-2
2.936208000E0,-1.365446672E-2,4.373752512E-3,3.746683151E-2
2.946226000E0,-2.260655537E-2,-1.291576214E-2,4.743381962E-2
2.956244000E0,-2.153223567E-2,-1.135195326E-2,4.510408640E-2
2.966262000E0,-1.519875415E-2,-2.264154144E-3,4.129973426E-2
2.976280000E0,-5.711509380E-3,1.851553097E-4,4.273251444E-2
2.986298000E0,-1.149507239E-2,-1.245249063E-2,5.568521097E-2
2.996316000E0,-2.176075988E-2,-3.134868294E-2,6.918610632E-2
3.006334000E0,-4.252268001E-2,-5.351131409E-2,6.722977012E-2
3.016352000E0,-6.440827250E-2,-6.191092357E-2,4.599079117E-2
3.026371000E0,-7.523988187E-2,-5.714359879E-2,1.712718606E-2
3.036389000E0,-6.365726143E-2,-3.347209096E-2,-1.636206545E-2
3.046407000E0,-3.187289834E-2,-1.236742362E-3,-3.780639544E-2
3.056425000E0,-8.124506567E-4,2.285181545E-2,-3.359647095E-2
3.066443000E0,2.230001427E-2,3.221622482E-2,-1.211097836E-2
3.076461000E0,2.916724235E-2,3.258161247E-2,-3.239189275E-3
3.086479000E0,2.588049509E-2,1.887165010E-2,-5.179457832E-3
3.096497000E0,1.750192419E-2,7.785443217E-3,-9.858632460E-3
3.106515000E0,4.047900438E-3,1.371220686E-3,-1.554900873E-2
3.116533000E0,-1.099789515E-2,6.219770759E-3,-1.664543152E-2
3.126551000E0,-3.055303544E-2,7.983654737E-3,-1.744998991E-2
3.136569000E0,-4.299852252E-2,1.965602301E-2,-1.773441583E-2
3.146587000E0,-4.321211576E-2,2.768241800E-2,-2.196708322E-2
3.156605000E0,-3.112908825E-2,1.899758540E-2,-2.906973474E-2
3.166623000E0,-1.760204881E-2,-9.499629959E-4,-3.824769333E-2
3.176641000E0,-5.824485328E-3,-3.205275536E-2,-3.476454690E-2
3.186660000E0,2.588754054E-3,-4.463728517E-2,-1.922576688E-2
3.196678000E0,1.135268435E-2,-4.008594155E-2,-4.945099354E-3
3.206696000E0,1.140550710E-2,-2.008955926E-2,6.427520886E-3
3.216714000E0,3.462629393E-3,5.892504938E-3,1.761945523E-2
3.226732000E0,-1.132921595E-2,3.380574286E-2,2.862443030E-2
3.236750000E0,-2.282341942E-2,5.045768619E-2,4.585721344E-2
3.246768000E0,-2.757872641E-2,4.877000302E-2,5.117446929E-2
3.256786000E0,-1.659265347E-2,2.756750956E-2,5.570290610E-2
3.266804000E0,5.223118700E-3,1.767433435E-2,4.654633254E-2
3.276822000E0,2.717182599E-2,1.309183333E-2,4.149218649E-2
3.286840000E0,3.745636344E-2,1.149345189E-3,3.642139211E-2
3.296858000E0,2.842665091E-2,-1.367886923E-2,3.656547144E-2
3.306876000E0,1.369073242E-2,-2.364164218E-2,3.215686232E-2
3.316894000E0,6.336412393E-3,-2.186797746E-2,1.942402683E-2
3.326912000E0,3.265948500E-3,1.555273309E-3,2.648073714E-3
3.336930000E0,3.089114791E-3,1.378983445E-2,-1.692616008E-2
3.346949000E0,-9.970064275E-3,7.516885176E-3,-2.434648760E-2
3.356967000E0,-3.246445581E-2,-3.699283581E-3,-5.409015808E-3
3.366985000E0,-4.940957949E-2,-1.708943211E-2,1.542514656E-2
3.377003000E0,-5.087911338E-2,-2.718361095E-2,1.861428097E-2
3.387021000E0,-3.003807366E-2,-3.464959562E-2,8.525825106E-3
3.397039000E0,-1.923613716E-3,-2.206509188E-2,-2.730291104E-3
3.407057000E0,1.864660904E-2,-1.086832304E-2,1.918269088E-3
3.417075000E0,2.138913237E-2,-9.712778032E-3,1.216611359E-2
3.427093000E0,3.036141396E-3,-1.985881850E-2,1.894676872E-2
3.437111000E0,-4.789290950E-3,-2.249721438E-2,1.572860405E-2
3.447129000E0,-8.558207192E-3,-1.640826836E-2,1.543172402E-3
3.457147000E0,-2.483803080E-3,-1.471263263E-2,-3.589271568E-3
3.467165000E0,6.287099328E-3,-1.269771252E-2,3.037770046E-3
3.477183000E0,1.658527739E-2,-1.249557827E-2,1.826146245E-2
3.487201000E0,2.242356166E-2,-1.359505765E-2,3.325022757E-2
3.497219000E0,2.281877398E-2,-1.528483350E-2,4.256569967E-2
3.507237000E0,2.231339738E-2,-2.377388999E-2,5.062241852E-2
3.517256000E0,1.635777019E-2,-3.256471828E-2,6.054801866E-2
3.527274000E0,6.371033378E-3,-4.020410776E-2,7.376076281E-2
3.537292000E0,-1.830171095E-3,-4.060571268E-2,8.386266977E-2
3.547310000E0,-4.933924414E-3,-3.685177118E-2,7.955803722E-2
3.557328000E0,-1.833738526E-3,-3.543256968E-2,6.837302446E-2
3.567346000E0,2.116058604E-4,-3.632353246E-2,6.123567745E-2
3.577364000E0,-6.661480293E-3,-3.230588883E-2,4.660640284E-2
3.587382000E0,-1.339441538E-2,-2.710561641E-2,3.940678760E-2
3.597400000E0,-2.404066734E-2,-2.930245735E-2,2.489735372E-2
3.607418000E0,-3.214475885E-2,-3.118534759E-2,3.156249179E-3
3.617436000E0,-2.938945405E-2,-3.369351476E-2,-1.986065321E-2
3.627454000E0,-2.401689440E-2,-3.019319475E-2,-3.181474656E-2
3.637472000E0,-9.468046017E-3,-2.337230742E-2,-2.329715714E-2
3.647490000E0,5.604412407E-3,-2.189153992E-2,-8.455580100E-3
3.657508000E0,1.824430749E-2,-2.387213334E-2,2.953934716E-3
3.667527000E0,2.806891873E-2,-3.106230311E-2,-7.878935896E-3
3.677545000E0,3.413267061E-2,-3.602536768E-2,-2.306081727E-2
3.687563000E0,2.492503263E-2,-3.749688715E-2,-4.186528176E-2
3.697581000E0,7.352698594E-3,-3.517168015E-2,-5.431662500E-2
3.707599000E0,-1.867762953E-2,-2.648719028E-2,-5.041496456E-2
3.717617000E0,-4.016241431E-2,-1.705720276E-2,-4.474456236E-2
3.727635000E0,-4.737887532E-2,-1.450486295E-2,-4.069028795E-2
3.737653000E0,-4.195348546E-2,-1.282600686E-2,-3.409789875E-2
3.747671000E0,-2.073020861E-2,-1.366692875E-2,-2.932354435E-2
3.757689000E0,2.946358640E-3,-7.994662039E-3,-2.757517993E-2
