"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.537881537E1,-5.628295898E-1,3.938459930E0,8.971892853E0
2.538883338E1,-5.252577209E-1,3.977378998E0,8.879834290E0
2.539885038E1,-4.760101318E-1,4.024830322E0,8.756041718E0
2.540886838E1,-4.903802490E-1,4.044589233E0,8.673263855E0
2.541888638E1,-5.029541016E-1,4.050127716E0,8.681945801E0
2.542890337E1,-5.301974487E-1,4.049978027E0,8.747359772E0
2.543892138E1,-5.671705627E-1,4.030219116E0,8.834029541E0
2.544893937E1,-5.489085388E-1,4.001478882E0,8.890911255E0
2.545895738E1,-5.391787720E-1,3.946243744E0,8.908724213E0
2.546897437E1,-5.038522339E-1,3.906127167E0,8.882528687E0
2.547899238E1,-4.821473694E-1,3.914809113E0,8.855884094E0
2.548901037E1,-4.974156189E-1,3.947890320E0,8.904832306E0
2.549902738E1,-5.477110291E-1,3.955225067E0,8.979676666E0
2.550904537E1,-5.867797852E-1,3.978726196E0,9.002728729E0
2.551906338E1,-6.026467896E-1,3.969295807E0,9.034313049E0
2.552908037E1,-5.704637146E-1,3.945644989E0,9.034313049E0
2.553909838E1,-5.483097839E-1,3.922592926E0,9.038803711E0
2.554911637E1,-5.150788879E-1,3.935017090E0,9.034313049E0
2.555913338E1,-4.924758911E-1,3.974385223E0,9.036408691E0
2.556915137E1,-5.072950745E-1,4.008214874E0,9.057514801E0
2.557916938E1,-5.384303284E-1,4.018094330E0,9.068591766E0
2.558918737E1,-5.450166321E-1,4.015549622E0,9.046737213E0
2.559920438E1,-5.318440247E-1,4.002377014E0,9.015901337E0
2.560922238E1,-4.908293152E-1,3.990701294E0,8.982520752E0
2.561924038E1,-4.477189636E-1,3.988006897E0,8.953481140E0
2.562925738E1,-4.754113770E-1,3.971840515E0,8.914711761E0
2.563927537E1,-4.810995483E-1,3.973038025E0,8.886570282E0
2.564929338E1,-4.936734009E-1,3.965104523E0,8.894803162E0
2.565931037E1,-5.028044128E-1,3.956871643E0,8.935518494E0
2.566932838E1,-5.227130127E-1,3.945644989E0,8.976682892E0
2.567934637E1,-5.315446472E-1,3.931125183E0,9.003177795E0
2.568936338E1,-5.096900940E-1,3.922143860E0,8.992100830E0
2.569938137E1,-4.845423889E-1,3.917353821E0,8.984466705E0
2.570939938E1,-4.596940613E-1,3.903133392E0,8.963659973E0
2.571941737E1,-4.569996643E-1,3.916605377E0,8.969497833E0
2.572943438E1,-4.734654236E-1,3.960613861E0,8.971593475E0
2.573945237E1,-4.825964355E-1,3.969146118E0,8.971144409E0
2.574947038E1,-4.827461243E-1,3.959715729E0,8.990903320E0
2.575948737E1,-5.155279541E-1,3.994293823E0,8.992699585E0
2.576950538E1,-5.447172546E-1,3.971840515E0,8.992400208E0
2.577952337E1,-5.674699402E-1,3.984264679E0,9.021439819E0
2.578954038E1,-5.725593567E-1,3.994892578E0,9.014254761E0
2.579955838E1,-5.960604858E-1,4.000730438E0,8.987011414E0
2.580957638E1,-6.179150391E-1,3.974534912E0,8.941356354E0
2.581959338E1,-6.264472961E-1,3.975882111E0,8.919052734E0
2.582961137E1,-5.996530151E-1,3.997437286E0,8.925339661E0
2.583962938E1,-5.879772949E-1,3.989204407E0,8.955277405E0
2.584964737E1,-5.890251160E-1,3.971990204E0,8.945996704E0
2.585966438E1,-6.138734436E-1,3.958817596E0,8.972341919E0
2.586968237E1,-6.188131714E-1,3.949536896E0,8.962163086E0
2.587970038E1,-6.162684631E-1,3.962859192E0,8.964558105E0
2.588971737E1,-5.908213806E-1,3.979923706E0,8.948840790E0
2.589973538E1,-5.737568665E-1,3.973636780E0,8.977581024E0
2.590975337E1,-5.977070618E-1,3.964954834E0,9.005872192E0
2.591977038E1,-6.134243774E-1,3.973337402E0,9.036109314E0
2.592978837E1,-6.358776855E-1,3.975732422E0,9.027277679E0
2.593980638E1,-6.135740662E-1,3.988605652E0,8.994495850E0
2.594982337E1,-5.891748047E-1,4.023183746E0,8.916807404E0
2.595984138E1,-5.477110291E-1,4.029470673E0,8.900341644E0
2.596985937E1,-5.171745300E-1,4.062102814E0,8.884624329E0
2.597987738E1,-5.035528564E-1,4.041745148E0,8.911268921E0
2.598989438E1,-5.180726624E-1,4.017495575E0,8.929381256E0
2.599991238E1,-5.177732849E-1,3.988755341E0,8.950487366E0
2.600993038E1,-4.977149963E-1,3.969295807E0,8.908125458E0
2.601994737E1,-4.846920776E-1,3.969894562E0,8.885372772E0
2.602996538E1,-4.794529724E-1,3.976031799E0,8.888366547E0
2.603998337E1,-5.210664368E-1,3.984264679E0,8.891659698E0
2.605000038E1,-5.110372925E-1,3.995491333E0,8.904383240E0
2.606001837E1,-5.225633240E-1,3.979025574E0,8.911717987E0
2.607003638E1,-5.463638306E-1,3.927532654E0,8.918753357E0
2.608005437E1,-5.269042969E-1,3.911366272E0,8.926986237E0
2.609007138E1,-4.706213379E-1,3.919150085E0,8.922645264E0
2.610008937E1,-4.408332825E-1,3.943998413E0,8.877289581E0
2.611010738E1,-4.273612976E-1,3.936064911E0,8.835975494E0
2.612012437E1,-4.595443726E-1,3.931274872E0,8.848249969E0
2.613014238E1,-4.921765137E-1,3.931873627E0,8.929980011E0
2.614016037E1,-5.230123901E-1,3.905229034E0,9.019493866E0
2.615017738E1,-5.221142578E-1,3.874542847E0,9.057215424E0
2.616019537E1,-5.049000549E-1,3.878285065E0,9.026529236E0
2.617021338E1,-5.246589661E-1,3.893104248E0,8.952283630E0
2.618023137E1,-5.396278381E-1,3.908671875E0,8.860674133E0
2.619024838E1,-5.721102905E-1,3.948189697E0,8.815168762E0
2.620026638E1,-5.734574890E-1,3.988455963E0,8.782536621E0
2.621028438E1,-5.981561279E-1,4.020189972E0,8.815168762E0
2.622030138E1,-5.908213806E-1,4.029021606E0,8.895850983E0
2.623031937E1,-5.948629761E-1,4.039050751E0,9.023385773E0
2.624033738E1,-6.008505249E-1,4.040996704E0,9.088949432E0
2.625035437E1,-5.900729370E-1,4.012555847E0,9.074130249E0
2.626037238E1,-5.837860107E-1,4.007466431E0,9.070986786E0
2.627039037E1,-6.089337158E-1,3.999532928E0,9.046138458E0
2.628040738E1,-6.664141846E-1,3.988605652E0,9.027277679E0
2.629042537E1,-6.719526672E-1,3.982169037E0,9.017398224E0
2.630044338E1,-6.882687378E-1,3.988006897E0,9.009315033E0
2.631046067E1,-6.978488159E-1,3.992198181E0,9.006770325E0
2.632047767E1,-6.276448059E-1,3.977678375E0,8.997040558E0
2.633049567E1,-5.801934814E-1,3.948339386E0,9.020242310E0
2.634051367E1,-5.719606018E-1,3.882925415E0,8.994346161E0
2.635053067E1,-5.700146484E-1,3.854185181E0,8.995543671E0
2.636054867E1,-5.565426636E-1,3.857328644E0,9.016949158E0
2.637056667E1,-5.716612244E-1,3.861070862E0,9.009015656E0
2.638058367E1,-5.971083069E-1,3.875141602E0,8.971144409E0
2.639060167E1,-6.397695923E-1,3.886368256E0,8.933123474E0
2.640061967E1,-6.176156616E-1,3.894451447E0,8.888067169E0
2.641063767E1,-5.923182678E-1,3.900738373E0,8.885971527E0
2.642065467E1,-5.716612244E-1,3.891008606E0,8.909622345E0
2.643067267E1,-5.632786560E-1,3.902684326E0,8.962312775E0
2.644069067E1,-5.647755432E-1,3.908821564E0,8.987161102E0
2.645070767E1,-5.385800171E-1,3.926035767E0,8.973988495E0
2.646072567E1,-5.319937134E-1,3.935915222E0,8.939410400E0
