"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.445138417E0,2.049987030E0,5.484295349E0,1.275302994E1
1.455157417E0,2.719394989E0,4.655019836E0,1.207374252E1
1.465176417E0,3.309018860E0,4.072880402E0,1.168500092E1
1.475194417E0,3.580105133E0,3.548221436E0,1.160252243E1
1.485213417E0,3.445385284E0,3.279230804E0,1.196117661E1
1.495232417E0,2.947969666E0,3.124452667E0,1.229707809E1
1.505251417E0,2.060016174E0,3.244353333E0,1.230336502E1
1.515270417E0,1.090332642E0,3.655697937E0,1.172915909E1
1.525289417E0,1.773811340E-1,4.250560913E0,1.066621948E1
1.535308417E0,-7.899073792E-1,4.906197510E0,9.381740570E0
1.545327417E0,-1.684297485E0,5.499114532E0,8.259075165E0
1.555346417E0,-2.342179413E0,5.807772675E0,7.394772491E0
1.565365417E0,-2.731220398E0,5.864355011E0,6.778354340E0
1.575384417E0,-2.784659271E0,5.632636871E0,6.394851837E0
1.585403417E0,-2.414628754E0,5.358107758E0,6.127208405E0
1.595422417E0,-1.936972046E0,4.979245605E0,5.898334351E0
1.605441417E0,-1.517693939E0,4.600084076E0,5.656138000E0
1.615460417E0,-1.175355835E0,4.248764648E0,5.366340637E0
1.625479417E0,-8.915460205E-1,3.968846741E0,4.988376617E0
1.635498417E0,-6.512956238E-1,3.758085022E0,4.502187653E0
1.645516417E0,-4.598437500E-1,3.605851593E0,3.947740631E0
1.655535417E0,-3.287164307E-1,3.499123535E0,3.387455750E0
1.665554417E0,-3.360511780E-1,3.407813416E0,2.883753204E0
1.675573417E0,-2.974314880E-1,3.445984039E0,2.500250702E0
1.685592417E0,-2.344125366E-1,3.398383026E0,2.262245636E0
1.695611417E0,-1.225950623E-1,3.317401428E0,2.198328552E0
1.705630417E0,1.095721436E-1,3.412753143E0,2.638263702E0
1.715649417E0,2.875520325E-1,3.539090424E0,3.390748901E0
1.725668417E0,4.215234375E-1,3.634891205E0,4.183650055E0
1.735687417E0,5.213658142E-1,3.874542847E0,5.098248138E0
1.745706417E0,4.517605591E-1,4.207749939E0,5.899531860E0
1.755725417E0,2.854563904E-1,4.702471161E0,6.667734375E0
1.765744417E0,1.462458801E-1,5.307512970E0,7.307653656E0
1.775763417E0,1.841171265E-1,5.912554779E0,7.816894684E0
1.785782417E0,2.118095398E-1,6.534212036E0,8.438252563E0
1.795801417E0,1.326242065E-1,7.076234894E0,9.059011688E0
1.805820417E0,1.826202393E-2,7.252418518E0,9.579479370E0
1.815838417E0,-1.395098877E-1,7.310198364E0,1.020757324E1
1.825857417E0,-2.880010986E-1,7.316784668E0,1.079629898E1
1.835876417E0,-4.219725037E-1,7.373666382E0,1.120958954E1
1.845895417E0,-6.002517700E-1,7.663164368E0,1.119087845E1
1.855914417E0,-7.807763672E-1,7.945177917E0,1.079555054E1
1.865933417E0,-9.382489014E-1,8.231532440E0,1.039288788E1
1.875952417E0,-1.181493073E0,8.521629181E0,1.002300705E1
1.885971417E0,-1.449136505E0,8.826096039E0,9.824070740E0
1.895990417E0,-1.718875580E0,9.182055817E0,9.819580078E0
1.906009417E0,-1.909279633E0,9.307644653E0,9.840386810E0
1.916028417E0,-1.879641266E0,8.856632538E0,9.854457550E0
1.926047417E0,-1.765428772E0,8.363707581E0,1.016521133E1
1.936066417E0,-1.971250763E0,7.914641418E0,1.095945969E1
1.946085417E0,-2.520458679E0,7.179370422E0,1.198422867E1
1.956104417E0,-3.144211578E0,6.590944061E0,1.259929962E1
1.966123417E0,-3.601360931E0,5.713468781E0,1.248942810E1
1.976141417E0,-3.867956543E0,4.657414856E0,1.200503540E1
1.986160417E0,-3.943549347E0,4.319417725E0,1.137140305E1
1.996179417E0,-4.029171295E0,4.090094604E0,1.072714279E1
2.006198417E0,-3.901187439E0,3.771107941E0,1.017658768E1
2.016217417E0,-3.592529297E0,3.598217468E0,9.787247314E0
2.026236417E0,-3.173101501E0,3.541784821E0,9.628427582E0
2.036255417E0,-2.627635803E0,3.538940735E0,9.502090302E0
2.046274417E0,-1.833088074E0,3.703748016E0,9.126072235E0
2.056293417E0,-7.912545776E-1,3.927382965E0,8.570727081E0
2.066312417E0,3.155438232E-1,4.150568848E0,7.977061615E0
2.076331417E0,1.375938721E0,4.378694458E0,7.340285797E0
2.086350417E0,2.233056335E0,4.411326599E0,6.594686279E0
2.096369417E0,2.922672272E0,4.375401306E0,6.006858673E0
2.106388417E0,3.361559601E0,4.334386597E0,5.580545197E0
2.116407417E0,3.543132019E0,4.295766907E0,5.357658691E0
2.126426417E0,3.516936493E0,4.202959900E0,5.115462341E0
2.136444417E0,3.376079407E0,4.051325226E0,4.805756378E0
2.146463417E0,3.076851654E0,3.886368256E0,4.481081543E0
2.156482417E0,2.629881134E0,3.672463074E0,4.192631378E0
2.166501417E0,2.017803955E0,3.579506378E0,3.949536896E0
2.176520417E0,1.275946655E0,3.462300110E0,3.737577667E0
2.186539417E0,5.086422729E-1,3.313509521E0,3.556903381E0
2.196558417E0,-1.381626892E-1,3.329825592E0,3.440146179E0
2.206577417E0,-7.682025146E-1,3.373385010E0,3.447181549E0
2.216596417E0,-1.395997009E0,3.566782837E0,3.690874786E0
2.226615417E0,-1.742676086E0,3.822451172E0,3.703748016E0
2.236634417E0,-1.954635315E0,4.140839081E0,4.170327759E0
2.246653417E0,-1.726060638E0,4.631069641E0,5.289999390E0
2.256672417E0,-1.970202942E0,5.143005066E0,5.947731628E0
2.266691417E0,-2.231260071E0,5.638474731E0,6.085445251E0
2.276710417E0,-2.488275604E0,6.277046814E0,6.291416931E0
2.286729417E0,-1.561253357E0,6.664740601E0,7.067852325E0
2.296747417E0,-1.287322998E0,7.024891663E0,7.886350250E0
2.306766417E0,-6.526428223E-1,7.403005371E0,8.756790161E0
2.316785417E0,5.867797852E-2,7.470514984E0,9.744735718E0
2.326804417E0,4.237687683E-1,7.527247009E0,1.070229446E1
2.336823417E0,7.441026306E-1,7.378755798E0,1.123877884E1
2.346842417E0,9.731263733E-1,7.089257813E0,1.172721313E1
2.356861417E0,8.607101440E-1,6.752757568E0,1.237446716E1
2.366880417E0,6.924600220E-1,6.463858337E0,1.310210403E1
2.376899417E0,7.723937988E-1,6.327940979E0,1.363035553E1
2.386918417E0,1.115779724E0,6.352190552E0,1.366074234E1
2.396937417E0,1.492995300E0,6.522686005E0,1.338172256E1
2.406956417E0,1.912273407E0,7.035070496E0,1.290346710E1
2.416976125E0,2.441273346E0,7.682324524E0,1.217493210E1
2.426995125E0,3.327580261E0,8.185278625E0,1.138951538E1
2.437013125E0,4.109105072E0,7.936346283E0,1.114657059E1
2.447032125E0,4.179907837E0,7.594606934E0,1.163425644E1
2.457051125E0,3.754342804E0,7.173382874E0,1.205907303E1
2.467070125E0,3.285817108E0,6.289770355E0,1.205383392E1
2.477089125E0,2.835852814E0,5.333259430E0,1.165521286E1
2.487108125E0,2.323019257E0,4.716392212E0,1.098326019E1
2.497127125E0,1.913470917E0,4.354893951E0,1.013931519E1
2.507146125E0,1.737886047E0,3.801943817E0,9.163793793E0
2.517165125E0,1.643432465E0,3.271896057E0,8.230634308E0
2.527184125E0,1.495390320E0,2.910846863E0,7.465275879E0
2.537203125E0,1.277443542E0,2.621049500E0,7.057972870E0
2.547222125E0,1.049018555E0,2.441722412E0,6.954837341E0
2.557241125E0,7.122189331E-1,2.304308167E0,6.819668427E0
2.567260125E0,3.700305176E-1,2.391427002E0,6.625222778E0
2.577279125E0,1.061293030E-1,2.703228607E0,6.429130554E0
2.587298125E0,8.322692871E-2,3.109633484E0,6.308780823E0
2.597316125E0,1.181044006E-1,3.533851318E0,6.251899109E0
2.607335125E0,1.815724182E-1,3.968996429E0,6.341412964E0
2.617354125E0,2.844085693E-1,4.336631927E0,6.487509155E0
2.627373125E0,3.824546814E-1,4.614154816E0,6.610553284E0
2.637392125E0,5.480104065E-1,4.845274200E0,6.625073090E0
2.647411125E0,7.650590515E-1,4.907694397E0,6.492149506E0
2.657430125E0,9.484277344E-1,4.897665253E0,6.242169342E0
2.667449125E0,9.873468018E-1,4.869972839E0,5.963299255E0
2.677468125E0,9.979747009E-1,4.749473419E0,5.698350220E0
2.687487125E0,1.060993652E0,4.590204620E0,5.497018890E0
2.697506125E0,9.964778137E-1,4.446952515E0,5.426066437E0
2.707525125E0,8.093669128E-1,4.256548462E0,5.388195190E0
2.717544125E0,5.783972168E-1,4.057612152E0,5.291346588E0
2.727563125E0,3.784130859E-1,3.967050476E0,5.147495728E0
2.737582125E0,1.350192261E-1,3.948189697E0,5.045108643E0
2.747600125E0,-6.870712280E-2,4.035757599E0,4.964725800E0
2.757619125E0,-6.571334839E-2,4.155209198E0,4.898114319E0
2.767638125E0,6.286926270E-2,4.188589783E0,5.022954712E0
2.777657125E0,2.725831604E-1,4.221221924E0,5.466632080E0
2.787676125E0,4.276606750E-1,4.320465546E0,6.061644745E0
2.797695125E0,4.866380310E-1,4.537214813E0,6.735693054E0
2.807714125E0,5.209167480E-1,4.831802216E0,7.391179962E0
2.817733125E0,5.792953491E-1,5.236111450E0,7.992928619E0
2.827752125E0,7.020401001E-1,5.587730255E0,8.421487427E0
2.837771125E0,8.542735291E-1,5.911956024E0,8.912316742E0
2.847790125E0,9.749226379E-1,6.169420624E0,9.615704041E0
2.857809125E0,9.524693298E-1,6.390061798E0,1.037911652E1
2.867828125E0,7.138655090E-1,6.685547333E0,1.105900269E1
2.877847125E0,3.201841736E-1,7.087611237E0,1.155596924E1
2.887865125E0,4.460723877E-2,7.466024323E0,1.170041885E1
2.897884125E0,4.550537109E-2,7.767497406E0,1.151944519E1
2.907903125E0,1.932481384E-1,8.092321930E0,1.130060028E1
2.917922125E0,1.999841309E-1,8.388555908E0,1.121872055E1
2.927941125E0,1.528321838E-1,8.272696838E0,1.129371460E1
2.937960125E0,2.905458069E-1,8.114924927E0,1.155986115E1
2.947979125E0,4.007167053E-1,8.004754028E0,1.220636673E1
2.957998125E0,2.333647156E-1,7.769443359E0,1.294777496E1
2.968017125E0,-1.974394226E-1,7.344327393E0,1.364742004E1
2.978036125E0,-7.714956665E-1,6.701863403E0,1.431667831E1
2.988055125E0,-1.231638794E0,5.687722321E0,1.471799377E1
2.998074125E0,-1.362017670E0,4.537514191E0,1.495689697E1
3.008093125E0,-1.480271759E0,3.550466766E0,1.515388733E1
3.018112125E0,-1.764979706E0,2.939736786E0,1.498339188E1
3.028130125E0,-2.229164429E0,2.753673706E0,1.417836594E1
3.038149125E0,-2.586770782E0,2.696941681E0,1.287098465E1
3.048168125E0,-2.661166077E0,2.743045807E0,1.129730713E1
3.058187125E0,-2.434537354E0,2.836900635E0,9.778265991E0
3.068206125E0,-2.017504578E0,2.970422974E0,8.501421204E0
3.078225125E0,-1.441352692E0,3.145858154E0,7.414082336E0
3.088244125E0,-8.304730225E-1,3.365152130E0,6.470145264E0
3.098263125E0,-2.107617188E-1,3.538791046E0,5.616171112E0
3.108282125E0,4.279600525E-1,3.627107391E0,4.974605255E0
3.118301125E0,1.075513458E0,3.657643890E0,4.688550110E0
3.128320125E0,1.604663086E0,3.657793579E0,4.737947388E0
