"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.406834000E0,1.149774063E-2,1.187658962E-2,2.586584014E-4
1.416856000E0,-1.677036635E-4,6.560920738E-3,6.284326781E-3
1.426878000E0,-2.263782918E-2,6.120203063E-3,8.837825619E-3
1.436901000E0,-3.795606643E-2,4.169970751E-3,3.520824248E-3
1.446923000E0,-4.824582860E-2,-3.584734630E-3,1.049727434E-3
1.456945000E0,-4.993586987E-2,-3.554907162E-3,3.800772596E-3
1.466967000E0,-5.390789732E-2,4.080984741E-3,4.875514656E-3
1.476989000E0,-5.563335866E-2,-2.351614647E-3,-4.392019473E-3
1.487011000E0,-5.623891577E-2,-1.648721844E-2,-1.536267903E-2
1.497033000E0,-6.614347547E-2,-2.906586230E-2,-1.471819356E-2
1.507055000E0,-6.588287652E-2,-2.489135414E-2,-1.470287051E-2
1.517077000E0,-5.656421185E-2,-1.555271447E-2,-1.087111421E-2
1.527099000E0,-3.881416470E-2,3.031698987E-3,-7.696469780E-3
1.537120625E0,-1.895044744E-2,1.261535008E-2,-7.029614411E-3
1.547142625E0,-9.836960584E-3,1.069909055E-2,-7.108945400E-3
1.557164625E0,-9.201264009E-3,1.391618978E-2,-6.361396052E-3
1.567186625E0,-9.011588059E-3,8.180463687E-3,-3.542189021E-3
1.577208625E0,-7.635266054E-3,9.667307138E-3,-6.117199548E-3
1.587230625E0,-1.960065711E-4,6.523828022E-3,-9.190118872E-3
1.597252625E0,1.237704325E-2,-3.237989265E-3,-1.510073803E-2
1.607274625E0,2.060654946E-2,-1.090915035E-2,-1.511736773E-2
1.617296625E0,3.286561370E-2,-5.369363353E-4,-1.448326930E-2
1.627318625E0,4.064159840E-2,1.158786472E-2,-9.373149835E-3
1.637340625E0,4.599588364E-2,2.235449106E-2,-8.564081974E-3
1.647362625E0,5.334054679E-2,2.641014755E-2,-6.521311123E-3
1.657384625E0,5.554777756E-2,3.123952076E-2,-5.085335113E-3
1.667406625E0,5.014285818E-2,3.705544397E-2,-6.185945589E-3
1.677428625E0,4.002444446E-2,2.962655574E-2,-1.114768069E-2
1.687450625E0,3.191345558E-2,1.956266165E-2,-1.377369370E-2
1.697472625E0,2.768754959E-2,9.007756598E-3,-1.126792561E-2
1.707494625E0,1.967345551E-2,8.182862774E-3,-9.720051661E-3
1.717516625E0,9.565960616E-3,1.155575551E-2,-1.020155102E-2
1.727538625E0,8.886152878E-3,1.558694616E-2,-7.312228903E-3
1.737561625E0,1.290859096E-2,1.955186017E-2,-9.839302860E-3
1.747583625E0,1.694603451E-2,2.390289307E-2,-1.257591322E-2
1.757605625E0,2.804715559E-2,2.302884310E-2,-1.867535152E-2
1.767627625E0,4.363970831E-2,3.335646540E-2,-1.936895214E-2
1.777649625E0,5.797923356E-2,4.571193457E-2,-2.113622613E-2
1.787671625E0,6.693062186E-2,4.428604245E-2,-2.808447182E-2
1.797693625E0,7.273418456E-2,4.589592293E-2,-2.731188945E-2
1.807715625E0,6.985463202E-2,4.662243277E-2,-2.582598664E-2
1.817737625E0,6.010479853E-2,4.551722109E-2,-2.541479468E-2
1.827759625E0,4.832128063E-2,4.269031063E-2,-2.224276960E-2
1.837781625E0,4.456009716E-2,4.664403945E-2,-1.509138290E-2
1.847803625E0,3.682861105E-2,5.396035314E-2,-1.495400211E-3
1.857825625E0,2.691020072E-2,6.147872657E-2,7.603023667E-3
1.867847625E0,1.283348445E-2,4.448117316E-2,7.665645797E-3
1.877869625E0,1.088644750E-2,1.756806672E-2,7.837712765E-4
1.887891625E0,1.480085962E-2,-9.590352885E-3,-4.329967778E-3
1.897913625E0,1.843846962E-2,-2.133436128E-2,-8.302871138E-3
1.907935625E0,1.492268220E-2,-1.792673022E-2,-8.816629648E-3
1.917957625E0,1.183954068E-2,-1.080916636E-2,-1.753981411E-2
1.927979625E0,1.101534441E-2,-1.347187255E-2,-1.940165833E-2
1.938001625E0,1.878831349E-2,-5.344970152E-3,-1.312645152E-2
1.948023625E0,2.887650207E-2,1.165185682E-2,-3.373549320E-3
1.958045625E0,3.452586755E-2,3.243090585E-2,8.305166848E-4
1.968067625E0,3.872340173E-2,2.889688686E-2,-2.459958661E-3
1.978089625E0,2.413327619E-2,1.569693163E-2,-3.044788959E-3
1.988111625E0,1.108563785E-2,5.039076321E-3,-1.506176195E-3
1.998133625E0,9.528428782E-4,8.517430164E-3,-5.903321784E-3
2.008155625E0,-3.077473491E-3,1.374772657E-2,-6.849584635E-3
