"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.346279625E0,-1.640805043E-2,1.247550733E-2,-9.904233739E-3
1.356297625E0,-4.886533599E-3,-2.522408962E-2,8.100062609E-3
1.366315625E0,2.695219591E-3,-6.552410871E-2,3.052627482E-2
1.376333625E0,1.269954629E-2,-9.227622300E-2,3.913950175E-2
1.386351625E0,2.650776878E-2,-1.202697754E-1,4.195605963E-2
1.396369625E0,3.534359485E-2,-1.343571246E-1,3.617616370E-2
1.406387625E0,3.734708950E-2,-1.534285545E-1,3.754236549E-2
1.416405625E0,2.915618010E-2,-1.656588912E-1,3.807647526E-2
1.426423625E0,1.953018457E-2,-1.403998733E-1,3.291819617E-2
1.436441625E0,1.208022237E-2,-8.122944832E-2,3.368332982E-2
1.446459625E0,4.068368115E-3,-2.291980200E-2,3.057542257E-2
1.456477625E0,-1.071303152E-2,1.863848418E-2,2.662954666E-2
1.466496625E0,-3.250408173E-2,2.471182123E-2,2.874995582E-2
1.476514625E0,-4.336322471E-2,-1.063530520E-2,3.993800655E-2
1.486532625E0,-2.637518570E-2,-3.855109215E-2,6.266515702E-2
1.496550625E0,-1.195241930E-3,-4.725763947E-2,6.938951463E-2
1.506568625E0,1.947887614E-2,-4.179602861E-2,7.164095342E-2
1.516586625E0,2.139193006E-2,-3.668483719E-2,7.450614125E-2
1.526604625E0,1.545121707E-2,-5.264542624E-2,7.137373090E-2
1.536622625E0,5.159465596E-3,-6.864867359E-2,6.221804023E-2
1.546640625E0,-3.535222495E-3,-6.431810558E-2,4.705772549E-2
1.556658625E0,-3.730154596E-3,-4.703968763E-2,3.103146516E-2
1.566676625E0,1.822003745E-3,-1.275867783E-2,6.123987027E-3
1.576694625E0,6.727396045E-3,1.790378243E-2,-2.144079097E-2
1.586712625E0,2.828124561E-4,1.695756242E-2,-3.758407384E-2
1.596730625E0,-5.031456240E-3,7.930733263E-4,-3.825661913E-2
1.606748625E0,3.527410794E-3,-8.416404016E-3,-3.296625242E-2
1.616766625E0,1.621339098E-2,-5.921454635E-3,-2.592314407E-2
1.626784625E0,3.696154431E-2,-5.786166061E-3,-1.836029813E-2
1.636802625E0,5.555351451E-2,-2.402379364E-2,-3.780948231E-3
1.646820625E0,6.539948285E-2,-5.354306847E-2,1.233543735E-2
1.656838625E0,6.618703157E-2,-7.933546603E-2,2.377967536E-2
1.666856625E0,6.080291793E-2,-1.029025763E-1,1.915083453E-2
1.676874625E0,6.841361523E-2,-8.632733673E-2,1.221543527E-3
1.686892625E0,7.995602489E-2,-3.120149858E-2,-1.339654811E-2
1.696910625E0,8.075871319E-2,2.687548473E-2,-1.673257910E-2
1.706928625E0,5.747176334E-2,7.450053096E-2,1.100480789E-3
1.716946625E0,3.727477789E-2,1.088006496E-1,2.884726413E-2
1.726964625E0,3.230691701E-2,1.210242882E-1,5.288415775E-2
1.736982625E0,3.613343090E-2,1.024012789E-1,6.925568730E-2
1.747000625E0,4.291996360E-2,5.644630268E-2,8.089503646E-2
1.757018625E0,4.328670353E-2,-1.560150646E-3,8.794136345E-2
1.767036625E0,4.194313660E-2,-3.317027539E-2,8.712910116E-2
1.777054625E0,3.880248219E-2,-5.868219212E-2,7.109060138E-2
1.787072625E0,4.133434966E-2,-9.182523191E-2,6.335757673E-2
1.797090625E0,3.204515204E-2,-1.083858684E-1,6.824647635E-2
1.807108625E0,2.895056084E-2,-9.616595507E-2,7.571424544E-2
1.817126625E0,1.502424292E-2,-4.645101726E-2,7.869751751E-2
1.827144625E0,-7.933004759E-3,1.291350834E-2,7.711480558E-2
1.837162625E0,-3.992162272E-2,5.938345939E-2,7.560066134E-2
1.847180625E0,-7.423325628E-2,7.961363345E-2,8.227401227E-2
1.857198750E0,-9.815099835E-2,7.546874136E-2,8.632536978E-2
1.867216750E0,-9.112904221E-2,5.819867924E-2,8.209759742E-2
1.877234750E0,-6.240030006E-2,2.975099906E-2,7.188475132E-2
1.887252750E0,-3.265225887E-2,-4.969696514E-3,6.459648162E-2
1.897270750E0,-1.639809273E-2,-4.781832919E-2,6.269350648E-2
1.907288750E0,-1.701301709E-2,-9.090347588E-2,6.259097904E-2
1.917306750E0,-4.930209368E-3,-1.164530665E-1,6.169617921E-2
1.927324750E0,1.870214753E-2,-9.599573165E-2,4.917106405E-2
1.937342750E0,2.551109903E-2,-4.353140667E-2,3.488437459E-2
1.947360750E0,3.950146958E-3,3.208426014E-2,1.785985194E-2
1.957378750E0,-3.478303924E-2,8.109623194E-2,4.947569105E-4
1.967396750E0,-5.791658908E-2,7.876756042E-2,-8.034282364E-3
1.977414750E0,-5.247890204E-2,4.485066608E-2,-3.247148823E-3
1.987432750E0,-1.578134112E-2,2.712160349E-4,1.324554160E-2
1.997450750E0,1.781384647E-2,-3.032805026E-2,4.082537070E-2
2.007468750E0,2.943454869E-2,-4.820611700E-2,5.330307782E-2
2.017486750E0,2.595178224E-2,-7.206868380E-2,4.503742605E-2
2.027504750E0,3.097866196E-3,-8.663564175E-2,2.220401913E-2
