"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.304872750E0,-3.137905002E-1,2.539609373E-1,2.285951525E-1
1.314891750E0,-4.364054799E-1,2.909103930E-1,2.716038227E-1
1.324910750E0,-3.455541432E-1,2.795408368E-1,2.747247815E-1
1.334929750E0,-6.288243830E-2,1.967843622E-1,3.032554686E-1
1.344948750E0,3.259606361E-1,6.684234738E-2,4.179998934E-1
1.354967750E0,6.108132005E-1,-7.657071203E-2,6.202986240E-1
1.364986750E0,6.116100550E-1,-2.350378484E-1,8.593535423E-1
1.375005750E0,4.413400590E-1,-4.592997134E-1,1.070662260E0
1.385024750E0,1.032328382E-1,-6.974702477E-1,1.136423230E0
1.395043750E0,-3.174932897E-1,-7.255673409E-1,1.062973857E0
1.405062750E0,-4.049384296E-1,-5.107975006E-1,9.303585887E-1
1.415081417E0,-1.924789697E-1,-2.296250314E-1,8.377253413E-1
1.425100417E0,1.349231303E-1,4.548376799E-2,7.671638131E-1
1.435119417E0,3.279229403E-1,2.374817580E-1,6.899455786E-1
1.445138417E0,3.716930449E-1,2.820308506E-1,5.930579305E-1
1.455157417E0,3.390487731E-1,2.622844577E-1,4.693598449E-1
1.465176417E0,1.920076609E-1,1.672841758E-1,2.853487432E-1
1.475194417E0,4.455575719E-2,1.045316737E-2,4.051773250E-2
1.485213417E0,-2.849341743E-2,-6.381360441E-2,-2.235088497E-1
1.495232417E0,-2.340522129E-3,-1.167518646E-2,-4.752258360E-1
1.505251417E0,8.474990726E-2,9.797754139E-2,-6.655408740E-1
1.515270417E0,1.601110250E-1,2.465670109E-1,-7.857683897E-1
1.525289417E0,1.817505360E-1,4.160993099E-1,-8.372217417E-1
1.535308417E0,1.328846514E-1,5.556625724E-1,-8.228657842E-1
1.545327417E0,4.888030514E-2,6.036031842E-1,-7.629268169E-1
1.555346417E0,-3.927864134E-2,5.439286828E-1,-6.782750487E-1
1.565365417E0,-1.075232178E-1,4.049180150E-1,-5.785042644E-1
1.575384417E0,-1.448954791E-1,2.321386039E-1,-4.863738418E-1
1.585403417E0,-1.460267901E-1,6.588704139E-2,-4.160242975E-1
1.595422417E0,-1.146998852E-1,-5.522091687E-2,-3.576255143E-1
1.605441417E0,-5.589915439E-2,-1.337655336E-1,-3.002650142E-1
1.615460417E0,1.415135711E-2,-1.886517406E-1,-2.454853952E-1
1.625479417E0,9.000297636E-2,-2.321542054E-1,-1.900988370E-1
1.635498417E0,1.444373280E-1,-2.637394667E-1,-1.498787999E-1
1.645516417E0,1.571669728E-1,-2.842127979E-1,-1.228117645E-1
1.655535417E0,1.393968314E-1,-3.170671463E-1,-1.108676344E-1
1.665554417E0,7.163082808E-2,-3.443568349E-1,-1.063826084E-1
1.675573417E0,-2.350338362E-2,-3.570972383E-1,-1.128819808E-1
1.685592417E0,-1.632367820E-1,-3.512492180E-1,-1.222512498E-1
1.695611417E0,-3.143544197E-1,-3.182667196E-1,-1.466233879E-1
1.705630417E0,-4.302788973E-1,-2.610598803E-1,-1.817720532E-1
1.715649417E0,-5.019354820E-1,-2.290664911E-1,-2.106097043E-1
1.725668417E0,-5.182220340E-1,-2.309171110E-1,-2.332012951E-1
1.735687417E0,-4.842968285E-1,-2.430698574E-1,-2.318027616E-1
1.745706417E0,-4.229181707E-1,-2.561933994E-1,-2.023425996E-1
1.755725417E0,-3.666007519E-1,-2.845085859E-1,-1.470881552E-1
1.765744417E0,-3.418754339E-1,-3.117982447E-1,-7.399743050E-2
1.775763417E0,-3.289066255E-1,-3.341225088E-1,-6.599262822E-3
1.785782417E0,-3.025274873E-1,-3.320659995E-1,6.763901561E-2
1.795801417E0,-2.904776633E-1,-3.279884458E-1,1.349826157E-1
1.805820417E0,-2.721716166E-1,-3.027544618E-1,1.963306665E-1
1.815838417E0,-2.205767781E-1,-3.054322004E-1,2.462076545E-1
1.825857417E0,-1.116364598E-1,-3.541187942E-1,2.843568921E-1
1.835876417E0,1.352165453E-2,-4.252330959E-1,3.084188700E-1
1.845895417E0,1.007042304E-1,-4.826553762E-1,3.211639524E-1
1.855914417E0,1.282194108E-1,-5.136591792E-1,3.159620166E-1
1.865933417E0,1.019697040E-1,-5.437475443E-1,2.976852655E-1
1.875952417E0,3.096350469E-2,-5.589596033E-1,2.561385930E-1
1.885971417E0,-3.038800322E-2,-5.272299051E-1,2.028242499E-1
1.895990417E0,-7.682667673E-2,-4.139189124E-1,1.552598178E-1
1.906009417E0,-1.561960727E-1,-2.166577876E-1,9.911133349E-2
1.916028417E0,-2.661943734E-1,-4.294235259E-5,2.552960813E-2
1.926047417E0,-3.304519355E-1,1.674086303E-1,-5.324110761E-2
1.936066417E0,-2.718707323E-1,2.772930264E-1,-8.448418975E-2
1.946085417E0,-7.567725331E-2,3.565396667E-1,-2.799321152E-2
1.956104417E0,1.527586579E-1,5.132396817E-1,1.054191291E-1
1.966123417E0,2.913700342E-1,7.308359146E-1,2.800599039E-1
1.976141417E0,3.602472246E-1,8.321872354E-1,4.302244782E-1
1.986160417E0,3.831991553E-1,7.908064723E-1,5.713708997E-1
1.996179417E0,3.571927845E-1,7.140951157E-1,6.973462105E-1
2.006198417E0,2.923019528E-1,6.667097807E-1,7.925456762E-1
2.016217417E0,2.218409926E-1,6.624482870E-1,8.636948466E-1
2.026236417E0,2.039581239E-1,6.393831372E-1,9.197818041E-1
2.036255417E0,2.315049320E-1,5.750612617E-1,9.706215262E-1
2.046274417E0,2.526179552E-1,4.999044538E-1,9.983311892E-1
2.056293417E0,2.625974715E-1,4.401136935E-1,9.796589017E-1
2.066312417E0,2.508369386E-1,3.663436174E-1,9.157318473E-1
2.076331417E0,2.011651099E-1,2.733250856E-1,8.180377483E-1
2.086350417E0,1.294658929E-1,1.822859943E-1,6.987342238E-1
2.096369417E0,5.979695171E-2,1.048012674E-1,5.707948208E-1
2.106388417E0,1.895418391E-2,4.516297579E-2,4.497222006E-1
2.116407417E0,1.698803715E-2,1.265787985E-2,3.442672491E-1
2.126426417E0,2.280518040E-2,-6.669806316E-4,2.515458167E-1
2.136444417E0,2.245183475E-2,2.508839592E-3,1.743347943E-1
2.146463417E0,4.800936673E-3,1.558575965E-2,9.899184108E-2
2.156482417E0,-2.914975397E-2,3.322136030E-2,3.323298320E-2
2.166501417E0,-7.912903279E-2,4.663144052E-2,-5.987921730E-3
2.176520417E0,-1.570512801E-1,5.796135589E-2,-2.387553453E-2
2.186539417E0,-2.402803898E-1,3.813945130E-2,-1.157172956E-2
